,discoverymethod,st_spectype,pl_bmassj,pl_orbper,hostname,pl_radj
3386,Transit,,0.0157,6.9913086,Kepler-900,0.186
3387,Transit,,0.0292,5.24867263,Kepler-956,0.268
3388,Transit,,0.0155,17.76080053,Kepler-988,0.185
3389,Transit,,0.00972,4.16809082,Kepler-823,0.14
3390,Transit,,0.0325,26.0204423,Kepler-1172,0.285
3391,Transit,,0.0057,5.34982412,Kepler-1213,0.106
3392,Transit,,0.00752,6.49441289,Kepler-1265,0.12
3393,Transit,,0.00951,2.13194651,Kepler-1282,0.138
3394,Transit,,0.00724,1.04562266,Kepler-255,0.118
3395,Transit,,0.0962,287.378949,Kepler-1625,0.541
3396,Radial Velocity,G8.5V,0.01237,636.13,tau Cet,0.161
3397,Radial Velocity,G8.5V,0.00551,20.0,tau Cet,0.105
3398,Radial Velocity,F8 V,0.6876,4.617033,ups And,1.25
3399,Transit,K0 V,0.02086,9.15059,TOI-125,0.246
3400,Microlensing,,1.28,,UKIRT-2017-BLG-001L,1.22
3401,Radial Velocity,G5,0.59,981.8,HIP 14810,1.26
3402,Transit,,0.176,49.183921,Kepler-108,0.772
3403,Radial Velocity,G1 V,0.079,49.748,HD 10180,0.481
3404,Pulsation Timing Variations,sdBV,3.2,1170.0,V0391 Peg,1.17
3405,Transit,,0.0186,3.405164,K2-202,0.205
3406,Radial Velocity,G5 IV,10.13,1888.0,HD 106270,1.11
3407,Radial Velocity,M0 V,9.836,820.3,Kepler-94,1.11
3408,Transit,,0.0153,5.03251791,Kepler-868,0.183
3409,Transit,,0.00829,5.14438011,Kepler-876,0.128
3410,Transit,,0.0119,3.02166863,Kepler-904,0.158
3411,Transit,,0.0125,8.73485836,Kepler-771,0.162
3412,Microlensing,,0.029,,MOA-2010-BLG-328L,0.266
3413,Transit,,0.0174,32.5637069,Kepler-1162,0.197
3414,Transit,,0.0189,13.093921,Kepler-321,0.207
3415,Transit,,0.0134,106.247547,Kepler-1177,0.17
3416,Transit,,0.0132,16.3583055,Kepler-1382,0.168
3417,Transit,,0.177,51.84688575,Kepler-148,0.774
3418,Transit,M3.0 V,0.00657,3.36008,TOI-270,0.111
3419,Transit,G3 V,0.3,4.322482,WASP-21,1.07
3420,Radial Velocity,M1 V,0.01686,8.7076,GJ 536,0.194
3421,Transit,F5 V,1.42,4.12508,XO-4,1.25
3422,Radial Velocity,G5,0.96,6.4947,HD 102956,1.23
3423,Transit,M2.5 V,0.0147,10.59357,K2-150,0.178
3424,Transit,K5 V,1.19,1.540731,Qatar-9,1.009
3425,Transit,F5,1.17,2.70579,WASP-82,1.62
3426,Transit,,0.00214,9.20669,TRAPPIST-1,0.093
3427,Transit,,0.00157,1.60588,K2-257,0.074
3428,Radial Velocity,,5.4,26.468,TYC 3667-1280-1,1.14
3429,Transit,G2,0.28411,3.28883,WASP-126,0.96
3430,Radial Velocity,M2.5,0.07406,30.5987,GJ 3293,0.463
3431,Radial Velocity,,4.46,523.9,Kepler-454,1.15
3432,Transit,,0.0467,105.9564148,Kepler-976,0.353
3433,Transit,,0.0153,11.932125,Kepler-363,0.183
3434,Transit,,0.058,6.04045,Kepler-211,0.115
3435,Transit,,0.0338,29.91136794,Kepler-576,0.292
3436,Transit,,0.00352,1.45088691,Kepler-1578,0.093
3437,Transit,,0.144,20.17202,Kepler-118,0.685
3438,Transit,,0.0242,4.28095859,Kepler-671,0.24
3439,Transit,,0.0261,13.7521072,Kepler-892,0.251
3440,Radial Velocity,F8 V,1.981,241.258,ups And,1.19
3441,Radial Velocity,,4.0,872.2,HAT-P-44,1.16
3442,Transit,K7,0.76,3.799847,HAT-P-54,0.944
3443,Transit,,0.0322,22.20813214,Kepler-521,0.284
3444,Transit,,0.0163,44.96417488,Kepler-942,0.19
3445,Radial Velocity,K0,1.31,93.4,8 UMi,1.22
3446,Radial Velocity,K1 III,1.85,735.1,7 CMa,1.2
3447,Radial Velocity,K2 III,20.96,647.29999,HD 96127,1.08
3448,Radial Velocity,G0 V,0.0529,49.175,HD 34445,0.38
3449,Transit,,0.0201,8.96855,Kepler-343,0.215
3450,Transit,F8,4.193,2.77596,HAT-P-16,1.289
3451,Radial Velocity,G5,5.63,433.70001,HD 11755,1.14
3452,Radial Velocity,K2 III,15.89,745.70001,HD 240237,1.09
3453,Radial Velocity,K0,4.44,1928.0,HD 142022 A,1.15
3454,Radial Velocity,G3IV/V,0.5219,310.55,HD 160691,1.27
3455,Transit,,0.0117,7.25931979,Kepler-1516,0.156
3456,Transit,,,6.49168281,Kepler-730,1.1
3457,Transit,,0.031,21.81293494,Kepler-692,0.277
3458,Transit,,0.017,33.42035034,Kepler-1444,0.194
3459,Transit,,0.0383,24.54350418,Kepler-657,0.314
3460,Transit,,5.33,3.1414391,HATS-66,1.411
3461,Radial Velocity,G0,2.2,4218.0,HD 13931,1.19
3462,Transit,G,0.237,4.763387,HATS-5,0.912
3463,Transit,F5 V,0.03964,9.55237,HD 106315,0.218
3464,Transit,,0.00537,16.2254649,Kepler-647,0.104
3465,Transit,,0.0142,11.30119217,Kepler-792,0.175
3466,Transit,,0.334,22.342989,KOI-94,1.005
3467,Transit,G5 V,0.43,3.57878087,Kepler-77,0.96
3468,Transit,,0.0197,46.8779367,Kepler-1060,0.212
3469,Transit Timing Variations,,0.113,56.268,Kepler-122,0.156
3470,Radial Velocity,G9 V,0.0409,75.74,HD 164922,0.327
3471,Transit,F9 IV,0.84,3.313959,K2-107,1.426
3472,Eclipse Timing Variations,,14.48228,4640.0,HW Vir,1.09
3473,Transit,,0.00955,4.382745,K2-165,0.139
3474,Radial Velocity,G5,1.053,872.2,HD 5319,1.23
3475,Transit,,0.0178,47.427737,Kepler-196,0.2
3476,Transit,,0.00889,44.000529,Kepler-174,0.133
3477,Transit,,0.261,4.3888497,HATS-43,1.18
3478,Transit,G0,0.08495,19.49221,EPIC 211945201,0.514
3479,Transit,K3,0.0227,13.603,EPIC 212737443,0.231
3480,Radial Velocity,G9 V,0.36497,1207.0,HD 164922,1.19
3481,Radial Velocity,G0 V,4.83,1622.1,HD 11506,1.15
3482,Radial Velocity,K2,0.0297,154.43,HD 216520,0.271
3483,Transit,G2 V,2.43,3.7681,CoRoT-17,1.02
3484,Radial Velocity,M4 V,0.7142,30.0881,GJ 876,1.25
3485,Transit,,0.0116,5.66793,Kepler-33,0.155
3486,Transit Timing Variations,,0.035,12.331,Kepler-417,0.206
3487,Transit,,0.0195,28.8432647,Kepler-1309,0.211
3488,Transit,,0.0142,26.234138,Kepler-342,0.175
3489,Transit,,0.0163,7.31946363,Kepler-1487,0.19
3490,Transit,,0.00236,30.8609366,Kepler-1505,0.083
3491,Radial Velocity,G5,3.9,6.673892,HIP 14810,1.16
3492,Transit,K0 V,0.03083,29.83832,HD 3167,0.255
3493,Transit,G2,0.01762,0.719573,HD 80653,0.144
3494,Transit,,0.0172,21.587475,Kepler-122,0.196
3495,Transit,,0.0346,6.03356196,Kepler-1270,0.296
3496,Radial Velocity,K0 III,6.3,2131.8,HIP 67851,1.14
3497,Transit,K5.5,0.0277,17.307137,K2-136,0.26
3498,Transit,G8,0.0211,11.8104,K2-15,0.221
3499,Transit,,0.00839,9.45889,K2-162,0.128
3500,Transit,,0.0143,7.385655,K2-126,0.176
3501,Transit,,0.0479,5.85296257,Kepler-590,0.359
